path	sentence
1.m4a	The Genie from Down Under
2.m4a	Kernel principal component analysis
3.m4a	Japan as Number One: Lessons for America
4.m4a	Fairy Falls (Oregon)
5.m4a	Canada's Northern House
6.m4a	2007 Detroit Sports Car Challenge
7.m4a	Hybrid input-output algorithm
8.m4a	Backfire (Friday Night Lights)
9.m4a	National Hunger March, 1932
10.m4a	District Council of Snowtown
11.m4a	Women's World Chess Championship 2000
12.m4a	Get You in the Morning
13.m4a	Tomato omelette
14.m4a	Smokeless Powder Company
15.m4a	Yellow soybean paste
16.m4a	Thermal bridge
17.m4a	Social simulation game
18.m4a	Cleveland Clinic Journal of Medicine
19.m4a	Papua and New Guinea Act 1949
20.m4a	1967 Portugal floods
21.m4a	Animal Antics
22.m4a	2019 Arctic Race of Norway
23.m4a	Alabama Feeling
24.m4a	1777 in Norway
25.m4a	Jewish surname
26.m4a	Miss Universe Thailand 2018
27.m4a	Divinity School Address
28.m4a	1929 Southern Illinois Maroons football team
29.m4a	South Boulevard–Park Row Historic District
30.m4a	Thai Pacific Airlines
31.m4a	General Electric GE90
32.m4a	National Board of Review Awards 1978
33.m4a	Local invariant cycle theorem
34.m4a	Brookland (Grassy Creek, North Carolina)
35.m4a	WWF All American Wrestling
36.m4a	Gross processing
37.m4a	Knee cartilage replacement therapy
38.m4a	The Hound and the Falcon
39.m4a	Lifekeeper
40.m4a	Thy Mighty Contract
41.m4a	Notable Last Facts
42.m4a	Kazakhstan motorcycle Grand Prix
43.m4a	Sounds Like Us
44.m4a	Sheppard Avenue Bridge
45.m4a	Declare Yourself
46.m4a	Health and Wellbeing Queensland
47.m4a	Romani people
48.m4a	List of UC Irvine Anteaters men's basketball head coaches
49.m4a	Malaysia–Venezuela relations
50.m4a	Liberty Tree (disambiguation)
51.m4a	Texas Flood (disambiguation)
52.m4a	Central place theory
53.m4a	List of healthcare occupations
54.m4a	Air-Ink
55.m4a	Varsity Football (South Africa)
56.m4a	Feet of Clay (1924 film)
57.m4a	Banks Rowing Club
58.m4a	1710s
59.m4a	Lieutenant Governor's Court
60.m4a	Hear the Silence
61.m4a	Ecuador at the 2020 Summer Paralympics
62.m4a	Songs of Italy
63.m4a	Louisiana Tech University College of Education
64.m4a	List of 2011 albums
65.m4a	Women–Veterans chess tournaments
66.m4a	Marvel Puzzle Quest
67.m4a	Pakistan Institute for Parliamentary Services
68.m4a	2001 Fijian general election
69.m4a	2014 Kentucky Bank Tennis Championships – Women's doubles
70.m4a	1978 Seattle Mariners season
71.m4a	Church Pastoral Aid Society
72.m4a	List of Downton Abbey characters
73.m4a	World Heavyweight Championship (WWE)
74.m4a	Athletics at the 1962 World Festival of Youth and Students
75.m4a	Selenium yeast
76.m4a	The Company's in Love
77.m4a	Frank Monk
78.m4a	Armenian Monastery of Saint Saviour (Jerusalem)
79.m4a	Aberdeen Safer Community Trust
80.m4a	Rampart Dam
81.m4a	Abortion in Mauritius
82.m4a	American Reaper
83.m4a	Cincinnati College of Mortuary Science
84.m4a	The Pirates! in an Adventure with Whaling
85.m4a	Triangulation (social science)
86.m4a	City Hindus Network
87.m4a	1994 Bob Save Superbowl
88.m4a	Texas State Highway 217
89.m4a	Elves (Mayfair Games)
90.m4a	Reflex Lightning Bug
91.m4a	Colchester Garrison
92.m4a	Rugby sevens at the 2024 Summer Olympics
93.m4a	Myth of the Cave
94.m4a	Simpson test
95.m4a	Sport climbing at the 2018 Asian Games – Women's combined
96.m4a	Albatross (magazine)
97.m4a	List of San Antonio Spurs head coaches
98.m4a	St. Valentine's Day Massacre: In Your House
99.m4a	Romanian National Council
100.m4a	CBC Television local newscasts
